STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-19,14.76,0.00,67,73,61,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-20,9.17,0.00,66,74,59,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-21,6.49,0.00,64,69,57,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-22,8.50,0.00,63,68,57,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-23,13.65,0.12,60,61,58,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-24,14.76,0.31,61,63,60,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-25,18.57,0.07,60,62,59,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-26,14.32,0.00,58,60,50,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-27,8.50,0.00,56,64,49,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-28,7.83,0.00,58,64,52,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-29,8.05,0.27,58,61,55,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-09-30,8.72,0.00,59,62,56,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-01,5.59,0.00,60,68,53,,1,,,,,,1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-02,8.72,0.00,64,69,57,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-03,6.26,0.00,66,83,53,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-04,4.25,0.00,70,77,61,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-05,6.49,0.00,66,75,60,,1,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-06,8.50,0.00,65,68,62,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-07,9.84,0.13,65,67,57,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-08,14.99,0.00,59,65,52,,1,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-09,10.74,0.00,55,63,47,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2023-10-10,8.05,0.00,56,65,49,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-19,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-20,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-21,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-22,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-24,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-25,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-26,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-27,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-28,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-29,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-09-30,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-01,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-02,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-03,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-04,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-05,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-06,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-07,,0.04,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-08,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-09,,0.00,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2023-10-10,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-19,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-20,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-21,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-22,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-23,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-24,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-25,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-26,,0.09,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-27,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-28,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-29,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-09-30,,0.01,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-01,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-02,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-03,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-04,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-05,,0.00,,,,,,,,,,,
US1CASF0017,"SAN FRANCISCO 1.6 SE, CA US",2023-10-06,,0.00,,,,,,,,,,,
